comparing:skynet_SN160_yields.txt xnet_SN160_yields.txt
sym:co54 0.000847974659623 1.66155387355e-07
sym:co57 0.00208273558974 0.0516830601807
sym:co56 0.0097069606782 0.00479568128113
sym:co59 9.27427735039e-08 0.0058079918141
sym:co58 7.06701195005e-06 0.008808493481
sym:cu62 1.87229874254e-07 0.000144033241837
sym:cu63 5.30379549979e-09 0.000200013543718
sym:cu60 9.19734763447e-05 2.73194932078e-05
sym:cu61 2.61889374695e-05 0.000391277438577
sym:cu64 3.39229857371e-12 6.42708530117e-06
sym:cu65 1.19554013361e-14 1.13779560172e-06
sym:ge64 2.75709091906e-09 1.55597867081e-13
sym:ge63 2.53237035209e-12 6.0768760993e-18
sym:ga62 2.79524972074e-08 2.07326719718e-12
sym:p29 6.82367691092e-06 7.97874053115e-10
sym:k39 0.000121456883159 1.07001691077e-05
sym:k38 1.04990311077e-05 1.84037505847e-08
sym:ga64 1.65585511997e-08 3.00760627844e-09
sym:sc48 1.49765171811e-15 2.33684478441e-08
sym:sc49 9.692188268e-18 7.61225414441e-09
sym:b10 5.22188241228e-17 8.27064656623e-18
sym:b11 2.08448474759e-17 1.66120264044e-16
sym:sc43 5.04741782764e-06 2.50844605856e-07
sym:cr48 0.00343613237102 1.47910249684e-06
sym:sc47 1.45690458896e-12 4.56516929943e-07
sym:sc44 1.10720376309e-07 2.76266251217e-07
sym:sc45 2.74843053233e-08 3.42867230261e-06
sym:ne18 2.75693912427e-14 3.51504722888e-19
sym:ne19 1.71784382562e-13 1.04555293419e-16
sym:k37 2.16186408285e-06 7.53109242839e-11
sym:ni56 0.399583329685 6.01442287494e-05
sym:ni57 0.0725721741816 0.000551316561473
sym:ni58 0.0579319548262 0.0221664511576
sym:ni59 0.000839834418485 0.0161385934207
sym:li6 1.70965411091e-15 5.60840699635e-16
sym:li7 1.2527350444e-19 2.03771804807e-18
sym:ga63 1.19083075717e-07 4.29768195684e-10
Relative Error:24841.2630811
