comparing:/home/vtiwari/runs/XNetFlashTest/xnet_standalone/branches/public/my_code/xnetStandalone_SN150_yields.txt xnet_SN150_rho1e9_temp7e9_yields.txt
sym:co58 0.00638324292812 1.81582916439e-07
sym:cu62 0.000627255274925 9.81648941269e-10
sym:cu63 0.000129086294907 2.38157302859e-07
sym:cr49 0.00343861140145 4.87346413483e-15
sym:cr48 0.0011084033247 1.34481535433e-18
sym:k37 1.45025474954e-06 2.82567517538e-21
sym:p29 4.36926737363e-06 2.41021753902e-18
sym:k39 0.000390075784356 7.97232845851e-13
sym:k38 2.47448913292e-05 4.27725703151e-17
sym:sc48 9.8162419922e-09 0.00236008538948
sym:sc49 5.39106957853e-10 0.151843234394
sym:b10 1.23731472139e-12 1.10186996464e-15
sym:b11 2.29072425503e-12 2.27827295686e-12
sym:sc43 7.54308977449e-05 8.26063449561e-15
sym:sc46 1.86424579299e-06 3.30493545212e-07
sym:sc47 2.74017172472e-07 5.64818870487e-05
sym:sc44 2.2895492389e-05 2.95990335327e-12
sym:sc45 2.70450794165e-05 4.08402368364e-09
sym:ne18 3.32784629661e-12 1.10660920533e-24
sym:ne19 3.91409269473e-11 3.23256449015e-20
sym:ni56 0.0210960624929 7.47800289936e-20
sym:ni57 0.0450942712384 1.86749658589e-16
sym:ni58 0.118396584369 5.72405850995e-13
sym:ni59 0.0369688850427 2.09205322782e-10
sym:fe58 5.3878829167e-05 0.0090058706992
sym:li6 1.66412581961e-11 2.48868012591e-13
sym:li7 7.23971781687e-14 1.56167027608e-12
Relative Error:9.70632790165e+11
