xnetStandalone_SN150_yields_rho1e9_T5e9.txt xnetFlash_SN150_rho1e9_T5e9_yields.txt L2_Error
sym:v47 4.65394218845e-05 1.08953838686e-08 4.65176336675e-05
sym:v46 4.8932355411e-07 3.20280550318e-13 4.89322913549e-07
sym:v49 3.62292086644e-06 0.000113425015186 0.00332783970763
sym:v48 6.13333585836e-06 5.26827974133e-07 5.12493223619e-06
sym:be7 1.37384471487e-17 2.88824659413e-21 1.37326712627e-17
sym:s35 1.69699024081e-11 1.09338387142e-07 0.000704256982737
sym:s34 1.96346178711e-07 3.07501203144e-06 4.22046262681e-05
sym:s36 7.84463101591e-14 2.08484117654e-07 0.554080804007
sym:s33 9.44816849382e-07 4.73536366079e-08 8.52482911169e-07
sym:s32 0.000207667080211 2.39200224936e-08 0.000207619242922
sym:cu57 1.49335921463e-05 1.74959501929e-16 1.49335921459e-05
sym:cr50 0.00227388533639 8.44426107202e-05 0.00210813596106
sym:cr51 5.63489588667e-05 0.000771205133977 0.0090688339478
sym:cr52 1.80446057604e-05 0.0907751960462 456.472180492
sym:cr53 1.77650224506e-08 0.0328482093811 60737.5361019
sym:cr54 6.97103967226e-11 0.0473576932517 32172404.82
sym:cu59 0.00212209829834 3.33641762026e-09 0.00212209162551
sym:cu58 0.000175483744522 7.52536595222e-13 0.000175483743017
sym:he4 0.000290733587321 6.89930266428e-05 0.000169120041144
sym:he3 2.22366038297e-13 1.24595641762e-16 2.22116916827e-13
sym:cu60 0.000239832212725 1.38176143623e-07 0.000239555940046
sym:n 4.27401943576e-10 1.57366587955e-07 5.76270381455e-05
sym:f18 3.43792338102e-16 4.66223278221e-18 3.34531097956e-16
sym:f19 4.21124352238e-17 2.19935592723e-16 7.50872638329e-16
sym:v50 3.39333481121e-08 0.000388469979226 4.4464389791
sym:v51 3.18685645811e-09 0.0134706000678 56939.1758662
sym:f17 1.06398498793e-13 3.470147185e-18 1.06391558611e-13
sym:co53 6.3201361037e-06 3.93658311571e-16 6.32013610291e-06
sym:co55 0.146180558438 1.22651037386e-06 0.146178105427
sym:co54 0.000659142185205 1.50711785473e-11 0.000659142155063
sym:co57 0.00303829027547 0.00343459138504 5.16917592496e-05
sym:co56 0.0114885838429 3.53440207201e-05 0.0114180045355
sym:co59 2.05186157579e-07 0.0313352568199 4785.33967631
sym:co58 1.27117192231e-05 0.00527966373937 2.18229989946
sym:cu62 7.55283902445e-07 5.90957021576e-05 0.00450639076402
sym:cu63 2.55579194254e-08 0.000739683584808 21.4060459161
sym:cr49 0.000518785449517 5.27375892761e-08 0.0005186799797
