  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                Potential                 Abundances               
  0.000000000000000000E+00  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.000000000000008937E-01  0.000000000000000000E+00  1.000000000000008937E-01  0.000000000000000000E+00  1.000000000000008937E-01  4.999999999500005245E+08  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01  4.999999999500005245E+08  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01  1.000000000000008937E-01
  2.000000000000000073E-10  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  2.766292816023287892E+26  0.000000000000000000E+00  2.766292816023287892E+26  0.000000000000000000E+00  8.064590012565803481E+05  1.750617681007396197E+06  3.508623714944832045E+03  1.136728320462760400E-01  1.000099005649689038E-01  2.247526768003269285E+07  2.297753320922487080E+08  1.199246692403711230E+08  1.062530452133380043E-01  4.429866385823276639E+08  2.180391365640677884E+07  1.604735215823087990E+08  7.254707781103439856E+01  9.331162991317173971E-02
  5.999999999999999960E-10  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  3.471732945652120486E+26  0.000000000000000000E+00  3.471732945652120486E+26  0.000000000000000000E+00  3.030008250450595282E+06  3.145550472497869050E+05  1.913894404574367945E+04  2.386097163822369638E-01  1.000221713954455582E-01  8.362261875176590867E+06  2.108931925657672584E+08  5.654226823736904562E+07  1.178290976941703122E-01  3.982451707941716313E+08  5.476480536358416080E+07  2.678280918945747912E+08  5.075902359857075226E+02  8.091559754615079703E-02
  1.400000000000000129E-09  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  4.052399671990735559E+26  0.000000000000000000E+00  4.052399671990735559E+26  0.000000000000000000E+00  7.617098612701658159E+06  1.996914556578994379E+05  7.204735850460872462E+04  1.209213837046986706E+00  1.001078081163484512E-01  4.538220329451079480E+06  1.802175009687075615E+08  2.226756190075166151E+07  1.365048454581988813E-01  3.289439022645913959E+08  9.545267548164558411E+07  3.606887577768900394E+08  2.543444360145192150E+03  6.091181066148917966E-02
  3.000000000000000394E-09  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  4.632636774077149594E+26  0.000000000000000000E+00  4.632636774077149594E+26  0.000000000000000000E+00  1.561575291543528251E+07  1.880879567521776480E+05  2.212934435136179382E+05  6.505577264458668907E+00  1.008332683593742424E-01  2.455556884939114563E+06  1.443863507111848295E+08  6.176068347600371577E+06  1.609779464494128509E-01  2.415084157992717326E+08  1.407791987658661008E+08  4.486604187106558084E+08  8.850762694937313427E+03  3.469601552196167893E-02
  6.200000000000000924E-09  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  5.130878359016328239E+26  0.000000000000000000E+00  5.130878359016328239E+26  0.000000000000000000E+00  2.544480390019453317E+07  1.814546149051101529E+05  5.378958415479704272E+05  2.209014396609501318E+01  1.042538238945075607E-01  1.495191776871223701E+06  1.106650319945507497E+08  1.862736050617985195E+06  1.825971540332978482E-01  1.567702558053430617E+08  1.741650554159569144E+08  5.288588859443062544E+08  1.866736717094622509E+04  1.153623783974564408E-02
  1.260000000000000198E-08  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  5.510731449810869405E+26  0.000000000000000000E+00  5.510731449810869405E+26  0.000000000000000000E+00  3.478451695983612537E+07  1.736068948633567779E+05  1.182241355206863256E+06  6.375809886329788867E+01  1.188344792077356549E-01  1.125819712036272278E+06  7.842042565581336617E+07  8.396997876610920066E+05  1.919736408688569596E-01  9.106875047989611328E+07  1.890769053017367423E+08  6.032933360560507774E+08  3.463482649924257566E+04  1.492480446559462390E-03
  2.540000000000000245E-08  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  5.771763559842364147E+26  0.000000000000000000E+00  5.771763559842364147E+26  0.000000000000000000E+00  4.062030055248640478E+07  1.619562301244745613E+05  2.475767180832864251E+06  2.003636956441079917E+02  1.944486829161250208E-01  9.856300670295619639E+05  4.833811906757423282E+07  4.203889881768443738E+05  1.933097365047168892E-01  4.788177593164440244E+07  1.919328684556835592E+08  6.671147900561895370E+08  6.820381872768847097E+04  7.547955321819353194E-05
  5.100000000000000669E-08  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  5.933235769147043971E+26  0.000000000000000000E+00  5.933235769147043971E+26  0.000000000000000000E+00  4.218659036892512441E+07  1.436976935652125976E+05  4.853206571415178478E+06  7.043876621718439992E+02  6.799681114337142729E-01  9.432433623326368397E+05  2.550170479534527287E+07  2.044080932813369145E+05  1.935247416444650370E-01  2.277046639261013642E+07  1.940589708933000863E+08  7.092044768012782335E+08  1.325308667487356579E+05  4.052910740482798974E-05
  1.022000000000000152E-07  1.000000000000000000E+09  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  6.021319386577811784E+26  0.000000000000000000E+00  6.021319386577811784E+26  0.000000000000000000E+00  4.259899079773690552E+07  1.174140107492297830E+05  8.640211364174805582E+06  2.473456013681638979E+03  3.969109849033570558E+00  9.453295023249622900E+05  1.346049725995609909E+07  9.681162815067655174E+04  1.959261928025369526E-01  9.723109575049366802E+06  1.991705245809889138E+08  7.250116317641916275E+08  2.330029955835543515E+05  4.118154124626634299E-05
